country,countrycode,year,rgdpna,rconna,rdana,pop,rgdpna_percapita,rconna_percapita,rdana_percapita,investment_percapita,investment,s,s_pct,s_pct_average,rgdpna_percapita_avg,pop_growth
France,FRA,1970,926857.3125,688303.1875,981797.4375,52.03509903,17812.15621,13227.67133,17812.15621,4584.484885,293494.25,0.3166552673,31.66552673,,,
France,FRA,1971,976135.6875,727921.375,1030099.125,52.47981644,18600.21154,13870.50154,18600.21154,4729.709998,302177.75,0.3095653134,30.95653134,27.9463343,22190.73251,0.8546489164
France,FRA,1972,1020172.875,763909.25,1081916.625,52.957798,19263.88395,14424.86808,19263.88395,4839.015871,318007.375,0.3117191045,31.17191045,,,0.9107912192
France,FRA,1973,1084898.5,808531.75,1154368,53.43917847,20301.55648,15129.94348,20301.55648,5171.612998,345836.25,0.3187729082,31.87729082,,,0.908988833
France,FRA,1974,1131559.125,835033,1191634.25,53.88049698,21001.27483,15497.87116,21001.27483,5503.403673,356601.25,0.3151415088,31.51415088,,,0.8258332606
France,FRA,1975,1120697.5,858978.5625,1165363.125,54.25201797,20657.25003,15833.11727,20657.25003,4824.132766,306384.5625,0.2733873882,27.33873882,,,0.6895277713
France,FRA,1976,1169523.625,902551.75,1236840.375,54.54368591,21441.96171,16547.31863,21441.96171,4894.643084,334288.625,0.2858331528,28.58331528,,,0.5376167577
France,FRA,1977,1210039.5,927018.25,1265054,54.77058029,22092.87347,16925.47797,22092.87347,5167.395498,338035.75,0.2793592689,27.93592689,,,0.4159865184
France,FRA,1978,1258181.5,969392.25,1310021.75,54.95850372,22893.29976,17638.62159,22893.29976,5254.678174,340629.5,0.2707316075,27.07316075,,,0.3431101679
France,FRA,1979,1302846.75,1002215.875,1361368.875,55.14499664,23625.83787,18174.19414,23625.83787,5451.643727,359153,0.2756678788,27.56678788,,,0.3393340564
France,FRA,1980,1323415.375,1019514.125,1389387.5,55.35782623,23906.56327,18416.802,23906.56327,5489.761262,369873.375,0.279483964,27.9483964,,,0.385945422
France,FRA,1981,1337563,1042233.875,1385986.375,55.60401154,24055.15291,18743.86121,24055.15291,5311.2917,343752.5,0.2569991096,25.69991096,,,0.4447163604
France,FRA,1982,1371074.25,1079422.75,1434979.125,55.87683868,24537.43416,19317.89227,24537.43416,5219.541887,355556.375,0.2593268563,25.93268563,,,0.4906608938
France,FRA,1983,1388087.375,1093766.75,1429230.375,56.17345428,24710.73557,19471.23893,24710.73557,5239.496641,335463.625,0.2416732772,24.16732772,,,0.5308381916
France,FRA,1984,1409099.25,1105493.5,1440153.125,56.48678589,24945.64397,19570.83383,24945.64397,5374.810147,334659.625,0.2374989732,23.74989732,,,0.5577930252
France,FRA,1985,1431965.75,1129362.375,1472458.375,56.81077194,25205.8844,19879.37035,25205.8844,5326.514051,343096,0.2395979094,23.95979094,,,0.5735607804
,,,,,,,,,,,,,,,Average,0.587290145
Spain,ESP,1970,472331.7813,334951.375,484728,33.9802742,13900.17569,9857.229904,13900.17569,4042.945784,149776.625,0.3171004597,31.71004597,,,
Spain,ESP,1971,494292.7188,351673.125,499282.0625,34.3639183,14384.06163,10233.79004,14384.06163,4150.271589,147608.9375,0.2986265666,29.86265666,28.38116173,17050.55139,1.129020024
Spain,ESP,1972,534576.3125,379366.1875,547095,34.76052094,15378.8349,10913.70835,15378.8349,4465.126552,167728.8125,0.3137602781,31.37602781,,,1.154125198
Spain,ESP,1973,576211.625,408232.0313,595283.5,35.16555786,16385.68133,11608.85981,16385.68133,4776.821524,187051.4687,0.3246228653,32.46228653,,,1.165221087
Spain,ESP,1974,608587.6875,431367.5625,636368.75,35.57247543,17108.38732,12126.44207,17108.38732,4981.94525,205001.1875,0.336847412,33.6847412,,,1.157148058
Spain,ESP,1975,611887.5,441192.25,637844.3125,35.97531509,17008.53762,12263.74943,17008.53762,4744.788185,196652.0625,0.3213859778,32.13859778,,,1.132447644
Spain,ESP,1976,632103,466750.2813,662525.0625,36.37310028,17378.30966,12832.29303,17378.30966,4546.016628,195774.7812,0.3097197469,30.97197469,,,1.105717042
Spain,ESP,1977,650045.6875,475465.9688,665016,36.76353073,17681.80788,12933.08775,17681.80788,4748.720137,189550.0312,0.2915949369,29.15949369,,,1.073404376
Spain,ESP,1978,659555.875,483109.2813,663732.9375,37.13770294,17759.73802,13008.59351,17759.73802,4751.144517,180623.6562,0.273856489,27.3856489,,,1.017780944
Spain,ESP,1979,659829.875,491686.5313,669211.3125,37.48474884,17602.62228,13116.97548,17602.62228,4485.6468,177524.7812,0.269046292,26.9046292,,,0.9344840217
Spain,ESP,1980,674403.75,503031.1875,685131.8125,37.79679489,17842.88197,13308.83185,17842.88197,4534.050122,182100.625,0.2700172189,27.00172189,,,0.83246136
Spain,ESP,1981,673510.375,502430.9063,670681,38.07126236,17690.78127,13197.11707,17690.78127,4493.6642,168250.0937,0.2498106933,24.98106933,,,0.7261659905
Spain,ESP,1982,681905.4375,506903.4688,677488.125,38.30971146,17799.80615,13231.72244,17799.80615,4568.083706,170584.6562,0.250158815,25.0158815,,,0.6263230721
Spain,ESP,1983,693975.9375,511548.5938,679079.4375,38.51406097,18018.76821,13282.12556,18018.76821,4736.642647,167530.8437,0.2414072803,24.14072803,,,0.5334143804
Spain,ESP,1984,706361.25,512531.5,677629.9375,38.6881218,18257.83256,13247.77415,18257.83256,5010.05841,165098.4375,0.2337308813,23.37308813,,,0.4519409941
Spain,ESP,1985,722758.9375,526242.5625,699198.75,38.83588409,18610.5957,13550.42057,18610.5957,5060.175135,172956.1875,0.2392999637,23.92999637,,,0.3819319293
,,,,,,,,,,,,,,,Average,0.8947724081
Sweden,SWE,1970,170080.0781,140378.3906,199708.0625,8.054916382,21115.06439,17427.66578,21115.06439,3687.398614,59329.6719,0.3488337527,34.88337527,,,
Sweden,SWE,1971,171686.7344,141404.5781,196109.4063,8.09579277,21206.90824,17466.42758,21206.90824,3740.480662,54704.8282,0.3186316543,31.86316543,27.9500718,23920.43645,0.5074712891
Sweden,SWE,1972,175616.1875,145809.6563,199044.2969,8.127034187,21608.88997,17941.31204,21608.88997,3667.577927,53234.6406,0.3031306018,30.31306018,,,0.3858969453
Sweden,SWE,1973,182584.6094,149607.5156,203454.875,8.151597977,22398.62784,18353.15186,22398.62784,4045.475978,53847.3594,0.2949172966,29.49172966,,,0.302247898
Sweden,SWE,1974,188424.0156,154514.3438,213683.8906,8.173968315,23051.71837,18903.22275,23051.71837,4148.495626,59169.5468,0.3140233829,31.40233829,,,0.2744288674
Sweden,SWE,1975,193234.2344,159739.0469,222873.7031,8.197340012,23572.79729,19486.69284,23572.79729,4086.10445,63134.6562,0.32672604,32.672604,,,0.2859284022
Sweden,SWE,1976,195278.8438,165932.7188,227498.6406,8.223249435,23747.16289,20178.48542,23747.16289,3568.677471,61565.9218,0.3152718472,31.52718472,,,0.3160711031
Sweden,SWE,1977,192161.6875,166469.0156,218244.9688,8.250695229,23290.36307,20176.36223,23290.36307,3114.000843,51775.9532,0.2694395219,26.94395219,,,0.3337585004
Sweden,SWE,1978,195527.5,167642.0469,211765.0469,8.277414322,23621.80898,20252.94861,23621.80898,3368.860373,44123,0.225661352,22.5661352,,,0.3238405038
Sweden,SWE,1979,203035.7656,173052.1406,225013.0938,8.300003052,24462.13144,20849.64783,24462.13144,3612.483611,51960.9532,0.2559201973,25.59201973,,,0.2728959687
Sweden,SWE,1980,206487.3125,173577.1406,230625.0469,8.316337585,24829.11623,20871.82475,24829.11623,3957.291484,57047.9063,0.2762780222,27.62780222,,,0.19680153
Sweden,SWE,1981,207426.4844,176636.5781,225868.5938,8.325492859,24914.61922,21216.35092,24914.61922,3698.268297,49232.0157,0.2373468164,23.73468164,,,0.110087811
