country,countrycode,year,rgdpna,rconna,rdana,pop,rgdpna_percapita,rconna_percapita,rdana_percapita,investment_percapita,investment,s,s_pct,s_pct_average,rgdpna_percapita_avg,pop_growth
Angola,AGO,1985,55736.26953,39780.33203,61282.74609,10.60904217,5253.657082,3749.662919,5253.657082,1503.994163,21502.41406,0.3857885402,38.57885402,33.57710497,4796.182033,
Angola,AGO,1986,57506.54688,38563.19531,58000.62891,10.92103672,5265.667386,3531.092908,5265.667386,1734.574478,19437.4336,0.3380038388,33.80038388,,,2.940836175
Angola,AGO,1987,61532.21875,38590.10156,59543.89844,11.21826839,5485.001482,3439.933884,5485.001482,2045.067598,20953.79688,0.3405337449,34.05337449,,,2.721643353
Angola,AGO,1988,64961.33594,39462.04688,57709.73828,11.51396847,5641.958818,3427.319345,5641.958818,2214.639473,18247.6914,0.2809008025,28.09008025,,,2.635879886
Angola,AGO,1989,65213.04297,40625.51953,58526.34375,11.82723713,5513.801935,3434.912066,5513.801935,2078.889868,17900.82422,0.2744976067,27.44976067,,,2.720770522
Angola,AGO,1990,64923.07813,40021.35156,58366.26953,12.17144108,5334.050233,3288.135833,5334.050233,2045.9144,18344.91797,0.2825638971,28.25638971,,,2.910265062
Angola,AGO,1991,65566.70313,33488.35547,56523.30469,12.55344582,5223.00443,2667.662405,5223.00443,2555.342025,23034.94922,0.35132084,35.132084,,,3.138533371
Angola,AGO,1992,61738.73047,29976.41406,53445.5625,12.96834469,4760.725593,2311.506578,4760.725593,2449.219015,23469.14844,0.3801365571,38.01365571,,,3.30505963
Angola,AGO,1993,46931.67578,19160.25391,34755.73438,13.40373421,3501.388124,1429.471341,3501.388124,2071.916783,15595.48047,0.3323018028,33.23018028,,,3.357325321
Angola,AGO,1994,47560.25781,22984.07813,40346.88281,13.84130096,3436.111818,1660.543196,3436.111818,1775.568623,17362.80468,0.3650696081,36.50696081,,,3.264513778
Angola,AGO,1995,54694.29688,27718.79492,49080.46875,14.26899433,3833.087015,1942.589245,3833.087015,1890.49777,21361.67383,0.3905649226,39.05649226,,,3.089979556
Angola,AGO,1996,62102.29688,18130.37109,41443.86328,14.68228436,4229.743503,1234.846748,4229.743503,2994.896755,23313.49219,0.3754046688,37.54046688,,,2.896420171
Angola,AGO,1997,66619.78906,36480.46875,62577.11719,15.08898067,4415.128531,2417.689408,4415.128531,1997.439123,26096.64844,0.3917251737,39.17251737,,,2.769979794
Angola,AGO,1998,69745.02344,32557.95313,62052.14453,15.50431824,4498.425688,2099.928073,4498.425688,2398.497614,29494.1914,0.422885963,42.2885963,,,2.752588654
Angola,AGO,1999,71266.5,42066.95703,71624.55469,15.94976616,4468.184629,2637.46544,4468.184629,1830.719189,29557.59766,0.4147474292,41.47474292,,,2.873057126
Angola,AGO,2000,73443.42969,31842.47656,51165.15625,16.44092369,4467.110916,1936.781483,4467.110916,2530.329434,19322.67969,0.2630960968,26.30960968,,,3.079402701
Angola,AGO,2001,75749.54688,40937.63281,62917.30078,16.98326683,4460.245937,2410.468682,4460.245937,2049.777255,21979.66797,0.290162369,29.0162369,,,3.298738868
Angola,AGO,2002,86755.96094,42175.44141,65526.26953,17.572649,4936.98821,2400.061676,4936.98821,2536.926535,23350.82812,0.2691553164,26.91553164,,,3.470369841
Angola,AGO,2003,89349.82813,45049.99609,71491.52344,18.20336914,4908.422581,2474.816378,4908.422581,2433.606202,26441.52735,0.2959326045,29.59326045,,,3.589214921
Angola,AGO,2004,99136.39844,46584.72266,77106.14063,18.86571693,5254.843948,2469.279213,5254.843948,2785.564735,30521.41797,0.3078729755,30.78729755,,,3.638600003
Angola,AGO,2005,114035.7969,49368.25781,83411.05469,19.55254173,5832.274825,2524.902312,5832.274825,3307.372514,34042.79688,0.2985272853,29.85272853,,,3.6405974
,,,,,,,,,,,,,,,Average,3.104688807
Benin,BEN,1985,6505.803711,6516.831055,7325.328613,4.278501034,1520.580142,1523.157527,1520.580142,-2.577384909,808.497558,0.1242732787,12.42732787,17.59317462,1599.642195,
Benin,BEN,1986,6645.578125,6403.054688,7629.616211,4.404506207,1508.813432,1453.75086,1508.813432,55.06257129,1226.561523,0.1845680692,18.45680692,,,2.94507754
Benin,BEN,1987,6545.895508,6275.055664,7424.228516,4.535263062,1443.333147,1383.614485,1443.333147,59.71866247,1149.172852,0.1755562475,17.55562475,,,2.96870634
Benin,BEN,1988,6744.527344,6583.663086,7792.189941,4.672852039,1443.3428,1408.917516,1443.3428,34.42528389,1208.526855,0.1791862933,17.91862933,,,3.033759566
Benin,BEN,1989,6696.804688,6166.322266,7120.658203,4.820015907,1389.373981,1279.31575,1389.373981,110.0582306,954.335937,0.1425061625,14.25061625,,,3.149337209
Benin,BEN,1990,7297.918945,6424.489258,7725.62793,4.978496075,1465.888259,1290.44779,1465.888259,175.4404691,1301.138672,0.1782890002,17.82890002,,,3.28795944
Benin,BEN,1991,7606.313965,6868.671875,8284.453125,5.14949894,1477.09788,1333.852469,1477.09788,143.2454106,1415.78125,0.1861323706,18.61323706,,,3.434829764
Benin,BEN,1992,7831.287109,7193.037109,8597.545898,5.331802845,1468.787826,1349.081599,1468.787826,119.7062267,1404.508789,0.1793458431,17.93458431,,,3.54022609
Benin,BEN,1993,8288.333984,7510.672852,8993.118164,5.521762848,1501.030416,1360.194753,1501.030416,140.8356631,1482.445312,0.1788592635,17.88592635,,,3.562772453
Benin,BEN,1994,8455.791992,7521.214355,9016.080078,5.714220047,1479.780604,1316.227638,1479.780604,163.552966,1494.865723,0.1767860094,17.67860094,,,3.485430365
Benin,BEN,1995,9312.517578,7809.348145,9997.394531,5.905558109,1576.907281,1322.372585,1576.907281,254.5346952,2188.046386,0.2349575577,23.49575577,,,3.348454565
Benin,BEN,1996,9715.961914,8216.850586,9896.108398,6.094258785,1594.281152,1348.293677,1594.281152,245.9874746,1679.257812,0.1728349521,17.28349521,,,3.195306396
Benin,BEN,1997,10273.13672,8617.171875,10637.25488,6.281639099,1635.422946,1371.803082,1635.422946,263.619864,2020.083005,0.1966374108,19.66374108,,,3.074702283
Benin,BEN,1998,10680.05664,9083.674805,10914.83887,6.470264912,1650.636687,1403.910803,1650.636687,246.7258848,1831.164065,0.1714564002,17.14564002,,,3.002812005
Benin,BEN,1999,11250.52734,9527.395508,11751.13184,6.664097786,1688.22963,1429.66022,1688.22963,258.5694099,2223.736332,0.1976561867,19.76561867,,,2.995748654
Benin,BEN,2000,11909.55176,10211.74316,12240.9541,6.865951061,1734.58151,1487.30206,1734.58151,247.2794497,2029.21094,0.1703851649,17.03851649,,,3.028966283
Benin,BEN,2001,12544.7041,10611.18359,13152.2168,7.076733112,1772.668815,1499.446626,1772.668815,273.2221887,2541.03321,0.2025582421,20.25582421,,,3.069961454
Benin,BEN,2002,13127.16016,11199.96582,13394.15527,7.295393944,1799.376464,1535.21056,1799.376464,264.1659045,2194.18945,0.1671488291,16.71488291,,,3.089855567
Benin,BEN,2003,13579.2041,11621.9707,13968.74316,7.520555019,1805.611962,1545.360771,1805.611962,260.2511909,2346.77246,0.172821061,17.2821061,,,3.086345669
Benin,BEN,2004,14180.71875,11956.6123,14438.08691,7.750003815,1829.769261,1542.787924,1829.769261,286.9813362,2481.47461,0.1749893397,17.49893397,,,3.05095562
Benin,BEN,2005,14423.65625,12516.41406,14357.14648,7.982224941,1806.97191,1568.035748,1806.97191,238.9361618,1840.73242,0.1276189884,12.76189884,,,2.996400151
,,,,,,,,,,,,,,,Average,3.167380371
Botswana,BWA,1985,5757.671387,2589.09375,4189.709473,1.189113975,4841.984459,2177.330184,4841.984459,2664.654275,1600.615723,0.2779970609,27.79970609,32.62811381,8445.392386,
Botswana,BWA,1986,6180.128906,2998.324219,4594.337402,1.226809978,5037.560027,2444.000516,5037.560027,2593.559511,1596.013183,0.2582491736,25.82491736,,,3.170091664
Botswana,BWA,1987,6688.427246,3313.979004,4869.251465,1.264314055,5290.162851,2621.167574,5290.162851,2668.995277,1555.272461,0.2325318649,23.25318649,,,3.057040428
Botswana,BWA,1988,7505.963379,3715.053955,5017.45459,1.301818013,5765.75474,2853.742933,5765.75474,2912.011807,1302.400635,0.1735154529,17.35154529,,,2.966348262
Botswana,BWA,1989,10003.41016,4804.873047,8742.541992,1.339624047,7467.32651,3586.732455,7467.32651,3880.594055,3937.668945,0.3936326595,39.36326595,,,2.904095167
Botswana,BWA,1990,10716.32422,5572.842773,9924.415039,1.377912045,7777.219351,4044.411102,7777.219351,3732.808248,4351.572266,0.4060694858,40.60694858,,,2.858115162
Botswana,BWA,1991,11511.9043,5975.293457,9981.249023,1.416731,8125.681093,4217.662673,8125.681093,3908.018419,4005.955566,0.3479837446,34.79837446,,,2.817230254
Botswana,BWA,1992,11857.38281,6168.660156,9918.113281,1.455832958,8144.741294,4237.20326,8144.741294,3907.538034,3749.453125,0.3162125391,31.62125391,,,2.760012875
Botswana,BWA,1993,12084.58301,6320.048828,10145.59863,1.494693041,8084.993158,4228.325586,8084.993158,3856.667572,3825.549802,0.3165644854,31.65644854,,,2.669267981
Botswana,BWA,1994,12523.24512,6538.64209,10253.21387,1.53262198,8171.124572,4266.311051,8171.124572,3904.813521,3714.57178,0.2966141559,29.66141559,,,2.5375738
Botswana,BWA,1995,13403.68066,7276.314453,11325.0752,1.569093943,8542.306036,4637.271392,8542.306036,3905.034644,4048.760747,0.3020633548,30.20633548,,,2.379710292
Botswana,BWA,1996,14185.08887,7537.040527,11601.35059,1.604060054,8843.240522,4698.727151,8843.240522,4144.513372,4064.310063,0.2865198872,28.65198872,,,2.228426867
Botswana,BWA,1997,15323.66211,8434.006836,12628.44629,1.637634993,9357.190201,5150.113958,9357.190201,4207.076243,4194.439454,0.273723045,27.3723045,,,2.093122319
Botswana,BWA,1998,15434.29785,8778.769531,15387.64355,1.669625044,9244.170064,5257.928756,9244.170064,3986.241308,6608.874019,0.4281940185,42.81940185,,,1.953429863
Botswana,BWA,1999,16926.36719,8858.973633,14146.82324,1.699862003,9957.494879,5211.584009,9957.494879,4745.91087,5287.849607,0.3124031015,31.24031015,,,1.811002962
Botswana,BWA,2000,17262.8125,8818.443359,15487.26563,1.72834003,9988.088108,5102.261827,9988.088108,4885.826281,6668.822271,0.3863114583,38.63114583,,,1.675314052
Botswana,BWA,2001,17306.07422,8534.882813,15031.74707,1.754935026,9861.376042,4863.361142,9861.376042,4998.014899,6496.864257,0.3754094761,37.54094761,,,1.538759477
Botswana,BWA,2002,18356.46484,8965.900391,15671.73145,1.779953003,10312.89299,5037.155687,10312.89299,5275.737299,6705.831059,0.3653116827,36.53116827,,,1.425578533
Botswana,BWA,2003,19205.62695,9081.614258,15991.09668,1.804339051,10644.13417,5033.208284,10644.13417,5610.925888,6909.482422,0.3597634402,35.97634402,,,1.37003887
Botswana,BWA,2004,19725.29102,9489.941406,16954.39453,1.829329967,10782.79555,5187.659732,10782.79555,5595.135814,7464.453124,0.3784204307,37.84204307,,,1.385045454
Botswana,BWA,2005,20624.08984,9931.459961,17447.1543,1.855852008,11113.00349,5351.428841,11113.00349,5761.574648,7515.694339,0.3644133825,36.44133825,,,1.449822693
,,,,,,,,,,,,,,,Average,2.252501349
Burkina Faso,BFA,1985,5936.612305,6240.477539,7598.347656,7.727907181,768.2044007,807.5249085,768.2044007,-39.32050772,1357.870117,0.2287281108,22.87281108,16.39322709,903.0124413,
Burkina Faso,BFA,1986,6408.565918,7052.44873,8212.890625,7.930694103,808.0712526,889.2599612,808.0712526,-81.18870853,1160.441895,0.1810766886,18.10766886,,,2.624085891
Burkina Faso,BFA,1987,6393.321777,6852.807617,7951.29248,8.140072823,785.4133392,841.8607261,785.4133392,-56.4473869,1098.484863,0.1718175467,17.18175467,,,2.640105863
Burkina Faso,BFA,1988,6764.055176,7215.899902,8399.130859,8.356305122,809.4552649,863.5275755,809.4552649,-54.0723106,1183.230957,0.174929229,17.4929229,,,2.656392685
Burkina Faso,BFA,1989,6909.787598,7096.65332,8355.97168,8.57982254,805.353207,827.1328791,805.353207,-21.77967215,1259.31836,0.182251385,18.2251385,,,2.674835525
Burkina Faso,BFA,1990,6867.714355,6990.595703,8267.907227,8.811034203,779.4447504,793.3910528,779.4447504,-13.94630246,1277.311524,0.1859878641,18.59878641,,,2.694830364
Burkina Faso,BFA,1991,7490.887695,7371.130859,8842.082031,9.050084114,827.7147042,814.4820276,827.7147042,13.23267657,1470.951172,0.1963654018,19.63654018,,,2.713074373
Burkina Faso,BFA,1992,7507.960938,7381.165527,8679.191406,9.297113419,807.5582818,793.9201335,807.5582818,13.63814824,1298.025879,0.1728866053,17.28866053,,,2.72958021
Burkina Faso,BFA,1993,7768.328125,7717.571777,9019.854492,9.552475929,813.2266632,807.9132399,813.2266632,5.313423282,1302.282715,0.1676400242,16.76400242,,,2.746685971
Burkina Faso,BFA,1994,7870.157715,6812.392578,8559.064453,9.816588402,801.7202507,693.9674252,801.7202507,107.7528255,1746.671875,0.2219360702,22.19360702,,,2.764858817
Burkina Faso,BFA,1995,8320.160156,7653.425293,9151.330078,10.08987808,824.6046275,758.5250518,824.6046275,66.07957576,1497.904785,0.1800331673,18.00331673,,,2.783957795
Burkina Faso,BFA,1996,9236.604492,8748.160156,10431.11914,10.37274456,890.4687124,843.3795034,890.4687124,47.08920895,1682.958984,0.1822053749,18.22053749,,,2.80346777
Burkina Faso,BFA,1997,9820.066406,8928.168945,11049.59473,10.66554642,920.7279233,837.1037538,920.7279233,83.62416944,2121.425785,0.2160296781,21.60296781,,,2.822800256
Burkina Faso,BFA,1998,10537.68848,9951.490234,11857.9873,10.96872425,960.7031994,907.2604988,960.7031994,53.44270059,1906.497066,0.1809217524,18.09217524,,,2.842590694
Burkina Faso,BFA,1999,11195.41699,10742.99414,12171.88086,11.28270054,992.2639487,952.1651401,992.2639487,40.09880865,1428.88672,0.1276313979,12.76313979,,,2.862468623
Burkina Faso,BFA,2000,11406.83984,11284.04492,12426.49805,11.60794163,982.6754995,972.0969729,982.6754995,10.57852666,1142.45313,0.1001550952,10.01550952,,,2.882652862
Burkina Faso,BFA,2001,12161.2207,11830.81348,13062.9209,11.94458675,1018.13658,990.4749095,1018.13658,27.66167025,1232.10742,0.1013144528,10.13144528,,,2.900127609
Burkina Faso,BFA,2002,12690.59375,12386.17871,13588.85156,12.29310036,1032.334674,1007.571593,1032.334674,24.763081,1202.67285,0.09476884011,9.476884011,,,2.917753601
Burkina Faso,BFA,2003,13680.77637,13239.75098,14776.09375,12.65462112,1081.08937,1046.238434,1081.08937,34.85093594,1536.34277,0.1122993848,11.22993848,,,2.940842826
Burkina Faso,BFA,2004,14293.46387,13923.31348,15667.21875,13.03056908,1096.917854,1068.511543,1096.917854,28.4063104,1743.90527,0.1220071836,12.20071836,,,2.970835369
Burkina Faso,BFA,2005,15531.5459,14934.31152,17133.46094,13.42193031,1157.176765,1112.679859,1157.176765,44.49690665,2199.14942,0.1415924361,14.15924361,,,3.003408582
,,,,,,,,,,,,,,,Average,2.798767784
Burundi,BDI,1985,4859.122559,4065.996094,4764.340332,4.702065945,1033.401619,864.7254508,1033.401619,168.6761679,698.344238,0.1437181774,14.37181774,4.452702292,905.7526383,
Burundi,BDI,1986,5044.708984,4229.805664,4951.045898,4.841565132,1041.958302,873.6442759,1041.958302,168.3140261,721.240234,0.1429696413,14.29696413,,,2.96676373
Burundi,BDI,1987,5251.249512,4352.633789,5069.547852,4.987736225,1052.832242,872.6671966,1052.832242,180.1650453,716.914063,0.1365225669,13.65225669,,,3.019087609
Burundi,BDI,1988,5508.165039,4942.450195,5306.431641,5.135955811,1072.471268,962.3233487,1072.471268,110.1479189,363.981446,0.06608034498,6.608034498,,,2.971680524
Burundi,BDI,1989,5589.87207,4798.59668,5256.063965,5.280024052,1058.683069,908.8209888,1058.683069,149.8620806,457.467285,0.08183859653,8.183859653,,,2.805091132
Burundi,BDI,1990,5785.507324,5569.921387,5431.876953,5.41541481,1068.340566,1028.530885,1068.340566,39.80968117,-138.044434,-0.02386038532,-2.386038532,,,2.564207221
Burundi,BDI,1991,6094.077637,5835.245117,5662.804688,5.542047977,1099.607521,1052.904114,1099.607521,46.70340659,-172.440429,-0.02829639517,-2.829639517,,,2.338383512
Burundi,BDI,1992,6204.119629,5720.355469,5698.768555,5.661139011,1095.91367,1010.460167,1095.91367,85.4535031,-21.586914,-0.003479448381,-0.3479448381,,,2.148863281
Burundi,BDI,1993,5768.063477,5294.677246,5477.556641,5.771398067,999.4222215,917.3994212,999.4222215,82.02280028,182.879395,0.03170551013,3.170551013,,,1.947647917
Burundi,BDI,1994,5590.143066,5461.187988,5318.950195,5.871606827,952.0635885,930.1011033,952.0635885,21.96248519,-142.237793,-0.02544439227,-2.544439227,,,1.736299573
Burundi,BDI,1995,5197.651855,4947.13623,4829.253906,5.962058067,871.7881974,829.7698839,871.7881974,42.01831351,-117.882324,-0.02267991918,-2.267991918,,,1.540485299
Burundi,BDI,1996,4750.252441,4394.517578,4475.795898,6.041111946,786.3208766,727.4352168,786.3208766,58.88565982,81.27832,0.01711031593,1.711031593,,,1.325949498
Burundi,BDI,1997,4768.283691,4222.890625,4303.115723,6.112096786,780.1387736,690.907028,780.1387736,89.23174568,80.225098,0.01682473259,1.682473259,,,1.175029376
Burundi,BDI,1998,4982.35791,4766.53125,4848.612305,6.186351776,805.3790166,770.4914661,805.3790166,34.8875505,82.081055,0.01647433936,1.647433936,,,1.214885703
Burundi,BDI,1999,4932.556152,4427.547363,4781.272949,6.278940201,785.571449,705.1424637,785.571449,80.42898528,353.725586,0.07171242964,7.171242964,,,1.496656323
Burundi,BDI,2000,4888.132813,4644.187988,4717.507813,6.400705814,763.6865301,725.5743543,763.6865301,38.11217576,73.319825,0.01499955664,1.499955664,,,1.939270149
Burundi,BDI,2001,4990.808594,4673.566895,4792.586914,6.555829048,761.2780256,712.8872429,761.2780256,48.39078272,119.020019,0.02384784284,2.384784284,,,2.423533256
Burundi,BDI,2002,5215.367188,4918.55127,5042.875,6.741569042,773.6132576,729.585537,773.6132576,44.02772057,124.32373,0.02383796299,2.383796299,,,2.833203743
Burundi,BDI,2003,5152.776367,4887.837891,5300.61377,6.953113079,741.0747256,702.9711491,741.0747256,38.10357648,412.775879,0.08010747015,8.010747015,,,3.137905073
Burundi,BDI,2004,5368.629395,5023.973145,5563.365234,7.182450771,747.464837,699.478953,747.464837,47.98588407,539.392089,0.1004710978,10.04710978,,,3.298345495
Burundi,BDI,2005,5417.483887,5308.147949,5690.662598,7.423288822,729.7956495,715.0668762,729.7956495,14.72877327,382.514649,0.0706074364,7.06074364,,,3.353145865
,,,,,,,,,,,,,,,Average,2.311821714
Cameroon,CMR,1985,40354.20703,31839.88477,39588.57031,10.05002308,4015.334762,3168.140463,4015.334762,847.1942992,7748.68554,0.192016796,19.2016796,14.70122736,2678.337099,
Cameroon,CMR,1986,38232.94922,30970.99609,37764.41797,10.36830044,3687.484698,2987.085132,3687.484698,700.3995662,6793.42188,0.1776850078,17.76850078,,,3.166931633
Cameroon,CMR,1987,36090.38281,29570.875,35650.46875,10.6962738,3374.107982,2764.595929,3374.107982,609.5120536,6079.59375,0.1684546762,16.84546762,,,3.16323164
Cameroon,CMR,1988,34728.48047,28727.44922,34764.23828,11.03181744,3148.028932,2604.054081,3148.028932,543.9748512,6036.78906,0.1738281946,17.38281946,,,3.137014312
Cameroon,CMR,1989,33635.89063,28153.90625,32468.66602,11.37215996,2957.739844,2475.686796,2957.739844,482.0530488,4314.75977,0.1282784457,12.82784457,,,3.085099276
Cameroon,CMR,1990,31563.54688,26067.49023,30425.05078,11.71521759,2694.234797,2225.096549,2694.234797,469.1382476,4357.56055,0.1380567452,13.80567452,,,3.01664443
Cameroon,CMR,1991,30375.48047,24693.52539,28468.29297,12.06072903,2518.54431,2047.432235,2518.54431,471.1120751,3774.76758,0.124270218,12.4270218,,,2.949253288
Cameroon,CMR,1992,29448.98047,24930.44727,27165.23828,12.40893078,2373.208538,2009.072958,2373.208538,364.1355795,2234.79101,0.07588687195,7.588687195,,,2.887070501
Cameroon,CMR,1993,28518.95117,24894.76953,29211.27539,12.75888062,2235.223608,1951.171915,2235.223608,284.0516929,4316.50586,0.1513557015,15.13557015,,,2.820144992
Cameroon,CMR,1994,29124.68359,24468.08398,28501.20508,13.10966015,2221.620031,1866.416345,2221.620031,355.2036862,4033.1211,0.1384777653,13.84777653,,,2.749297062
Cameroon,CMR,1995,30135.24805,25011.26953,28766.36523,13.46099377,2238.709011,1858.055204,2238.709011,380.6538067,3755.0957,0.12460809,12.460809,,,2.679959785
Cameroon,CMR,1996,31449.46094,26475.87891,30272.73828,13.81247234,2276.88861,1916.809551,2276.88861,360.0790581,3796.85937,0.1207289173,12.07289173,,,2.611089315
Cameroon,CMR,1997,33094.66016,27999.30078,32238.75195,14.16542339,2336.298694,1976.594699,2336.298694,359.7039947,4239.45117,0.1281007616,12.81007616,,,2.555306837
Cameroon,CMR,1998,34584.68359,29272.82422,33883.41797,14.52357006,2381.279771,2015.539161,2381.279771,365.7406098,4610.59375,0.1333131685,13.33131685,,,2.528316028
Cameroon,CMR,1999,36069.08594,30614.94336,35435.80859,14.89189053,2422.062254,2055.813082,2422.062254,366.2491723,4820.86523,0.1336564292,13.36564292,,,2.53601882
Cameroon,CMR,2000,37350.72656,31927.10742,37274.85156,15.27423382,2445.342071,2090.259177,2445.342071,355.0828934,5347.74414,0.1431764421,14.31764421,,,2.567459714
Cameroon,CMR,2001,38982.23438,33164.53125,40293.59766,15.67192745,2487.392473,2116.174373,2487.392473,371.2180999,7129.06641,0.1828798817,18.28798817,,,2.603689551
Cameroon,CMR,2002,40633.98438,34541.91406,41328.53906,16.08488655,2526.221385,2147.476387,2526.221385,378.7449977,6786.625,0.1670184478,16.70184478,,,2.635024322
Cameroon,CMR,2003,42489.81641,36486.77734,43263.10156,16.51382256,2572.984919,2209.468898,2572.984919,363.5160211,6776.32422,0.1594811367,15.94811367,,,2.666702116
Cameroon,CMR,2004,45371.07813,37686.84766,45160.62109,16.95908165,2675.326357,2222.222196,2675.326357,453.1041615,7473.77343,0.1647254978,16.47254978,,,2.696281181
Cameroon,CMR,2005,46287.85547,38737.98047,46202.29297,17.42079544,2657.046036,2223.663127,2657.046036,433.3829087,7464.3125,0.161258551,16.1258551,,,2.722516464
,,,,,,,,,,,,,,,Average,2.788852563
Central African Republic,CAF,1985,2828.932617,2982.093506,3644.590576,2.634232044,1073.911702,1132.054222,1073.911702,-58.14251989,662.49707,0.2341862319,23.41862319,17.58974126,933.0743852,
Central African Republic,CAF,1986,2930.150879,3061.755371,3717.022705,2.696981907,1086.45552,1135.25247,1086.45552,-48.79695027,655.267334,0.2236292126,22.36292126,,,2.382093223
Central African Republic,CAF,1987,2785.666504,2886.258057,3491.875,2.755244017,1011.041667,1047.550794,1011.041667,-36.50912673,605.616943,0.2174046829,21.74046829,,,2.160270703
Central African Republic,CAF,1988,2843.727295,2953.999023,3506.414307,2.812243938,1011.195102,1050.406397,1011.195102,-39.21129547,552.415284,0.194257475,19.4257475,,,2.068779413
Central African Republic,CAF,1989,2914.12085,3011.246582,3627.472656,2.872668028,1014.430077,1048.240365,1014.430077,-33.81028753,616.226074,0.2114620861,21.14620861,,,2.148607707
Central African Republic,CAF,1990,2869.094971,3041.668457,3691.906006,2.939779997,975.9556749,1034.658532,975.9556749,-58.70285742,650.237549,0.2266350733,22.66350733,,,2.336224316
Central African Republic,CAF,1991,2902.945801,3029.795654,3672.795898,3.014624119,962.95448,1005.032646,962.95448,-42.07816563,643.000244,0.2214992246,22.14992246,,,2.545908948
Central African Republic,CAF,1992,2864.313965,2955.765137,3567.95752,3.095807076,925.2236637,954.7639967,925.2236637,-29.54033302,612.192383,0.2137308935,21.37308935,,,2.692971123
Central African Republic,CAF,1993,2854.334961,2787.226318,3313.957764,3.181221962,897.2448308,876.1495901,897.2448308,21.0952407,526.731446,0.1845373627,18.45373627,,,2.759050674
Central African Republic,CAF,1994,3002.087646,3205.988037,3859.159912,3.267669916,918.7242663,981.1235894,918.7242663,-62.39932314,653.171875,0.2175725535,21.75725535,,,2.717444901
Central African Republic,CAF,1995,3156.786133,3243.957275,3988.266357,3.352766991,941.546532,967.5462935,941.546532,-25.99976146,744.309082,0.2357806486,23.57806486,,,2.604212702
Central African Republic,CAF,1996,2918.506836,2942.704346,3270.532471,3.435821056,849.4350516,856.477767,849.4350516,-7.04271544,327.828125,0.1123273453,11.23273453,,,2.477179751
Central African Republic,CAF,1997,3097.142578,2957.293457,3391.549072,3.51730895,880.5432284,840.7829676,880.5432284,39.76026075,434.255615,0.1402116964,14.02116964,,,2.37171531
Central African Republic,CAF,1998,3238.144287,3169.606934,3656.231445,3.59738493,900.1383922,881.0863991,900.1383922,19.05199314,486.624511,0.1502788226,15.02788226,,,2.276626283
Central African Republic,CAF,1999,3430.428467,3377.650879,3966.41333,3.67650795,933.0670608,918.7117028,933.0670608,14.35535805,588.762451,0.1716294208,17.16294208,,,2.199459372
Central African Republic,CAF,2000,3496.357422,3495.580322,4015.518555,3.754986048,931.1239449,930.9169934,931.1239449,0.2069515013,519.938233,0.1487085473,14.87085473,,,2.134582573
Central African Republic,CAF,2001,3518.401123,3513.076904,4000.391846,3.832202911,918.1145166,916.7251802,918.1145166,1.389336401,487.314942,0.1385046574,13.85046574,,,2.056382155
Central African Republic,CAF,2002,3496.939453,3467.38623,3925.078857,3.907612085,894.9044524,887.3414644,894.9044524,7.562987921,457.692627,0.1308837723,13.08837723,,,1.967776126
Central African Republic,CAF,2003,3250.346191,3115.927979,3411.970947,3.981664896,816.3284143,782.5691163,816.3284143,33.75929806,296.042968,0.09108044208,9.108044208,,,1.895091155
Central African Republic,CAF,2004,3340.321045,3364.566895,3687.542725,4.055036068,823.7463216,829.7255163,823.7463216,-5.979194659,322.97583,0.09669005633,9.669005633,,,1.842725943
Central African Republic,CAF,2005,3419.879395,3445.09375,3899.375,4.127910137,828.477191,834.5854526,828.477191,-6.108261605,454.28125,0.1328354592,13.28354592,,,1.797125051
,,,,,,,,,,,,,,,Average,2.271711371
Chad,TCD,1985,4734.910645,7471.257324,5374.155273,5.091535091,929.9573823,1467.387967,929.9573823,-537.4305843,-2097.102051,-0.4429021387,-44.29021387,-27.76401681,1016.235151,
Chad,TCD,1986,5016.022461,7295.650879,5215.226074,5.243006229,956.7073244,1391.501471,956.7073244,-434.7941464,-2080.424805,-0.414755879,-41.4755879,,,2.974960111
