country,countrycode,year,rgdpna,rconna,rdana,pop,rgdpna_percapita,rconna_percapita,rdana_percapita,investment_percapita,investment,s,s_pct,s_pct_average,rgdpna_percapita_avg,pop_growth,,Country,s_avg,gdp_avg,pop_grow
Angola,AGO,1970,48793.81641,29352.38867,50667.02344,6.776381016,7200.571558,4331.572944,7200.571558,2868.998614,21314.63477,0.4368306547,43.68306547,43.67826043,6309.07924,,,Angola,43.67826043,6309.07924,3.034432941
Angola,AGO,1971,51721.44531,31094.39648,53670.75781,6.927268982,7466.35441,4488.694832,7466.35441,2977.659577,22576.36133,0.436499042,43.6499042,,,2.226674764,,Benin,15.8048359,1315.973808,2.597730985
Angola,AGO,1972,51824.88672,31169.2832,53841.57422,7.094833851,7304.594837,4393.236523,7304.594837,2911.358314,22672.29102,0.4374788341,43.74788341,,,2.41891674,,Botswana,44.86255087,2945.676247,3.63955867
Angola,AGO,1973,56022.70313,33744.57031,58284.04688,7.277959824,7697.583455,4636.542537,7697.583455,3061.040918,24539.47657,0.4380273567,43.80273567,,,2.581117146,,Burkina Faso,11.19809272,758.4351991,2.140960832
Angola,AGO,1974,57759.40625,34821.5,60120.21094,7.474338055,7727.695192,4658.807207,7727.695192,3068.887985,25298.71094,0.4380015755,43.80015755,,,2.698259344,,Burundi,10.61456436,919.7918308,2.076705683
Angola,AGO,1975,54871.4375,32920.9375,56743.16797,7.682478905,7142.413039,4285.197253,7142.413039,2857.215786,23822.23047,0.43414628,43.414628,,,2.784739578,,Cameroon,17.91513445,3016.137978,2.918811022
Angola,AGO,1976,52018.12109,31176.51953,53796.14063,7.900997162,6583.74127,3945.896814,6583.74127,2637.844456,22619.6211,0.4348411789,43.48411789,,,2.844371715,,Central African Republic,19.19900871,1212.150128,2.463888935
Angola,AGO,1977,52434.26563,31600.04297,54795.78125,8.130988121,6448.695392,3886.371804,6448.695392,2562.323588,23195.73828,0.4423774797,44.23774797,,,2.910910538,,Chad,-23.8267428,1080.006757,2.256147123
Angola,AGO,1978,49655.25,30133.33008,52019.875,8.37614727,5928.172989,3597.516747,5928.172989,2330.656242,21886.54492,0.4407700076,44.07700076,,,3.015121229,,Congo,36.20850144,4546.114319,3.004667963
Angola,AGO,1979,49804.21484,30158.55273,51966.47656,8.641521454,5763.361823,3489.958671,5763.361823,2273.403152,21807.92383,0.4378730575,43.78730575,,,3.168212968,,Côte d'Ivoire,26.45501059,3855.032486,4.552985814
